Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-12,japan dynasty ,,https://boxd.it/tQaU0,pq gostiummmm

Position,Name,Year,URL,Description
1,Ran,1985,https://boxd.it/1Tlu,
2,Throne of Blood,1957,https://boxd.it/251w,
3,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,
4,Shara,2003,https://boxd.it/1aUO,
5,Woman of the Lake,1966,https://boxd.it/3xWW,
6,Impasse,1967,https://boxd.it/7Sl6,
7,"I Was Born, But...",1932,https://boxd.it/1pS4,
8,Godzilla,1954,https://boxd.it/28kc,
9,Shin Godzilla,2016,https://boxd.it/a9lm,
10,Like Someone in Love,2012,https://boxd.it/3tOu,
11,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,
12,Shin Kamen Rider,2023,https://boxd.it/uDlw,
13,Tokyo Drifter,1966,https://boxd.it/OTY,
14,Tokyo Fist,1995,https://boxd.it/Z2m,
15,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
16,Platform,2000,https://boxd.it/2O0S,
