Date,Name,Year,Letterboxd URI
2024-03-07,Whiplash,2014,https://boxd.it/7bQA
2024-03-07,Get Out,2017,https://boxd.it/eOCm
2024-03-07,The Menu,2022,https://boxd.it/lScm
2024-03-07,Drive,2011,https://boxd.it/IG
2024-03-07,Mean Girls,2004,https://boxd.it/1VNg
2024-03-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2024-03-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-03-07,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2024-03-07,"Monsters, Inc.",2001,https://boxd.it/2a46
2024-03-07,Ex Machina,2015,https://boxd.it/7T2k
2024-03-07,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2024-03-07,City of God,2002,https://boxd.it/2a2a
2024-03-07,A German Youth,2015,https://boxd.it/axdQ
2024-03-07,Frontier(s),2007,https://boxd.it/1Q3M
2024-03-07,"Frantz Fanon: Black Skin, White Mask",1995,https://boxd.it/5PWu
2024-03-07,Da 5 Bloods,2020,https://boxd.it/lnXw
2024-03-07,They Live,1988,https://boxd.it/20lm
2024-03-07,She's Gotta Have It,1986,https://boxd.it/1quC
2024-03-07,Che: Part One,2008,https://boxd.it/1ZGe
2024-03-08,Videodrome,1983,https://boxd.it/29uC
2024-03-08,Struggle: The Life and Lost Art of Szukalski,2018,https://boxd.it/kIiW
2024-03-08,Rear Window,1954,https://boxd.it/2a6Q
2024-03-09,Snake Eyes,1998,https://boxd.it/1ZX0
2024-03-12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2024-03-12,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk
2024-03-12,Watchmen,2019,https://boxd.it/ol5e
2024-03-13,Harakiri,1962,https://boxd.it/1NTU
2024-03-22,Mango Yellow,2002,https://boxd.it/2O12
2024-03-27,La Haine,1995,https://boxd.it/2as8
2024-03-27,The Red Light Bandit,1968,https://boxd.it/5ESQ
2024-04-02,Twenty Years Later,1984,https://boxd.it/33Oo
2024-04-02,Entranced Earth,1967,https://boxd.it/qkU
2024-04-12,The Battle of Algiers,1966,https://boxd.it/1IRY
2024-04-12,Memories of Underdevelopment,1968,https://boxd.it/Kos
2024-04-12,Garden of War,1968,https://boxd.it/7bvC
2024-04-24,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu
2024-05-01,The Guns,1964,https://boxd.it/5S2a
2024-05-14,The Woman of Everyone,1969,https://boxd.it/5OgW
2024-05-14,Fake Blonde,2007,https://boxd.it/5eHM
2024-05-14,Solaris,1972,https://boxd.it/2a2Y
2024-05-20,Le Bonheur,1965,https://boxd.it/xyk
2024-08-01,The First Omen,2024,https://boxd.it/fx08
2024-08-21,12 Angry Men,1957,https://boxd.it/2auI
2024-10-08,Sorcerer,1977,https://boxd.it/14J6
2024-10-08,Scanners,1981,https://boxd.it/1YqE
2024-10-08,Cruising,1980,https://boxd.it/1qzW
2024-10-08,The Exterminating Angel,1962,https://boxd.it/1nRS
2024-10-22,Belly,1998,https://boxd.it/1R5Y
2024-11-04,Death Proof,2007,https://boxd.it/27GG
2024-11-18,I'm Still Here,2024,https://boxd.it/BPEO
2024-11-18,Theorem,1968,https://boxd.it/237C
2024-11-18,Used Cars,1980,https://boxd.it/1O1k
2024-11-18,Rashomon,1950,https://boxd.it/2a9K
2024-11-18,Vanishing Point,1971,https://boxd.it/1SH0
2024-12-12,M,1931,https://boxd.it/29vq
2024-12-19,Dersu Uzala,1975,https://boxd.it/1XRO
2025-01-04,Phoenix,2014,https://boxd.it/7u46
2025-01-24,Los Angeles Plays Itself,2003,https://boxd.it/15xq
2025-01-24,"Paris, Texas",1984,https://boxd.it/29Ts
2025-01-24,Ran,1985,https://boxd.it/1Tlu
2025-01-25,The Spook Who Sat by the Door,1973,https://boxd.it/bxY
2025-01-28,Rockers,1978,https://boxd.it/1LFm
2025-01-30,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/22xa
2025-01-31,Baadasssss!,2003,https://boxd.it/1pYc
2025-02-01,The Seventh Seal,1957,https://boxd.it/2ahO
2025-02-02,White Dog,1982,https://boxd.it/Jtc
2025-02-05,A Woman Under the Influence,1974,https://boxd.it/1myg
2025-02-05,My Favourite Cake,2024,https://boxd.it/KU6K
2025-02-05,Blue Collar,1978,https://boxd.it/1Nhm
2025-02-08,Soundtrack to a Coup d'Etat,2024,https://boxd.it/K5gk
2025-03-09,Le Mans,1971,https://boxd.it/22lo
2025-04-04,La Jetée,1962,https://boxd.it/29Sk
2025-04-14,Two-Lane Blacktop,1971,https://boxd.it/1sfE
2025-05-08,Dreams,1990,https://boxd.it/1ROu
2025-05-15,Greice,2024,https://boxd.it/EnG4
2025-05-26,Ganja & Hess,1973,https://boxd.it/2UWe
2025-06-01,Babylon,1980,https://boxd.it/nyk
2025-06-02,A Trip to the Moon,1902,https://boxd.it/29EC
2025-06-02,Phantom of the Paradise,1974,https://boxd.it/1s34
2025-06-06,One Way or Another,1975,https://boxd.it/53UU
2025-06-07,The Given Word,1962,https://boxd.it/h6Y
2025-06-09,Black Christmas,1974,https://boxd.it/1Js6
2025-06-25,Obsession,1976,https://boxd.it/23QM
2025-06-27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2025-06-30,Rabid Dogs,1974,https://boxd.it/232W
2025-07-04,Umberto D.,1952,https://boxd.it/29vg
2025-07-07,Dawn of the Dead,1978,https://boxd.it/29gU
2025-07-13,The Devils,1971,https://boxd.it/1inI
2025-07-14,The Murdered House,1971,https://boxd.it/5iXu
2025-07-17,Malu,2024,https://boxd.it/K5d6
2025-07-19,Dirty Mary Crazy Larry,1974,https://boxd.it/1FRw
2025-07-26,Men and Women,1964,https://boxd.it/5T8e
2025-07-28,God Told Me To,1976,https://boxd.it/1iN2
2025-08-11,Blacula,1972,https://boxd.it/1l3m
2025-08-18,That Most Important Thing: Love,1975,https://boxd.it/25mk
2025-08-24,Beau Travail,1999,https://boxd.it/1NI8
2025-09-11,L'Argent,1983,https://boxd.it/XIg
2025-09-14,Four Nights of a Dreamer,1971,https://boxd.it/qRa
2025-09-18,The Trial of Joan of Arc,1962,https://boxd.it/HGe
2025-09-21,They Don't Wear Black Tie,1981,https://boxd.it/66nQ
2025-10-01,Thunderbolt and Lightfoot,1974,https://boxd.it/20jK
2025-10-02,Year of the Dragon,1985,https://boxd.it/1UQy
2025-10-02,Desperate Hours,1990,https://boxd.it/1iyQ
2025-10-03,The Deer Hunter,1978,https://boxd.it/1T6O
2025-10-06,A Fistful of Dollars,1964,https://boxd.it/2auo
2025-10-09,Vagabond,1985,https://boxd.it/T0u
2025-10-10,A Gentle Woman,1969,https://boxd.it/qSM
2025-10-13,The Priest and the Girl,1966,https://boxd.it/3WXK
2025-10-15,Strawberry and Chocolate,1993,https://boxd.it/1RMS
2025-10-17,Yella,2007,https://boxd.it/25SU
2025-10-25,Daguerréotypes,1975,https://boxd.it/FxY
2025-10-25,The Woman Who Invented Love,1980,https://boxd.it/5Sl2
2025-10-28,Saint Bernard,1972,https://boxd.it/7r2m
2025-10-31,"Woman, Woman",1979,https://boxd.it/5SQk
2025-12-10,Tropical Paths,1977,https://boxd.it/7BxE
2025-12-10,Cat Skin,1962,https://boxd.it/7Cva
2025-12-17,The Blue Trail,2025,https://boxd.it/IrKi
2026-01-05,Sans Soleil,1983,https://boxd.it/28B8
2026-01-08,The Incredible Shrinking Man,1957,https://boxd.it/1ixS
2026-01-13,On the Beach at Night Alone,2017,https://boxd.it/fqEK
