Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-28,essencials by me,,https://boxd.it/O5p9e,

Position,Name,Year,URL,Description
1,The Given Word,1962,https://boxd.it/h6Y,
2,The Guns,1964,https://boxd.it/5S2a,
3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
4,Le Bonheur,1965,https://boxd.it/xyk,
5,Entranced Earth,1967,https://boxd.it/qkU,
6,Theorem,1968,https://boxd.it/237C,
7,The Woman of Everyone,1969,https://boxd.it/5OgW,
8,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/22xa,
9,"Duck, You Sucker",1971,https://boxd.it/2ayU,
10,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,
11,The Spook Who Sat by the Door,1973,https://boxd.it/bxY,
12,Sorcerer,1977,https://boxd.it/14J6,
13,A Woman Under the Influence,1974,https://boxd.it/1myg,
14,White Dog,1982,https://boxd.it/Jtc,
15,Rio Babilonia,1982,https://boxd.it/4Nu2,
16,Videodrome,1983,https://boxd.it/29uC,
17,Twenty Years Later,1984,https://boxd.it/33Oo,
18,Movie Dementia,1986,https://boxd.it/5bH0,
19,Where Is the Friend's House?,1987,https://boxd.it/ELg,
20,The Vanishing,1988,https://boxd.it/1ZTW,
21,Dreams,1990,https://boxd.it/1ROu,
22,Beau Travail,1999,https://boxd.it/1NI8,
23,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
24,One Way or Another,1975,https://boxd.it/53UU,
