Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-26,lista radical 🛹,,https://boxd.it/zRgWs,lista de filmes de esquerda pro prof vynni de inglês

Position,Name,Year,URL,Description
1,Twenty Years Later,1984,https://boxd.it/33Oo,
2,A German Youth,2015,https://boxd.it/axdQ,
3,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,
4,The Battle of Algiers,1966,https://boxd.it/1IRY,
5,Memories of Underdevelopment,1968,https://boxd.it/Kos,
6,I Am Cuba,1964,https://boxd.it/1hUQ,
7,The Exterminating Angel,1962,https://boxd.it/1nRS,
8,That Obscure Object of Desire,1977,https://boxd.it/22zg,
9,The Young and the Damned,1950,https://boxd.it/29AA,
10,The Last Bolshevik,1993,https://boxd.it/3ot2,
11,Lenin in 1918,1939,https://boxd.it/bdlW,
12,"La Commune (Paris, 1871)",2000,https://boxd.it/9rO,
13,Downfall,2004,https://boxd.it/2a04,
14,Touki Bouki,1973,https://boxd.it/2H44,
15,"The Devil, Probably",1977,https://boxd.it/1hJe,
16,They Don't Wear Black Tie,1981,https://boxd.it/66nQ,
17,What Is It Worth?,2005,https://boxd.it/56fK,
18,A Touch of Sin,2013,https://boxd.it/5Fvo,
19,The Given Word,1962,https://boxd.it/h6Y,
20,Assault on the Pay Train,1962,https://boxd.it/33Qu,
21,8½,1963,https://boxd.it/2aqm,
22,Man with a Movie Camera,1929,https://boxd.it/1u7s,
23,Mother,1926,https://boxd.it/3oH4,
24,Battleship Potemkin,1925,https://boxd.it/29Vo,
25,Haifa,1995,https://boxd.it/4y6u,
26,F for Fake,1973,https://boxd.it/VxA,
27,The Phantom of Liberty,1974,https://boxd.it/22VG,
28,A Woman Under the Influence,1974,https://boxd.it/1myg,
29,Network,1976,https://boxd.it/1VqG,
30,Opening Night,1977,https://boxd.it/1f4e,
31,¡Las Sandinistas!,2018,https://boxd.it/i82u,
32,12 Angry Men,1957,https://boxd.it/2auI,
33,The First Omen,2024,https://boxd.it/fx08,
34,The Hidden Tiger,2016,https://boxd.it/7Fbs,
35,The Vanishing,1988,https://boxd.it/1ZTW,
36,The Asphalt Kiss,2018,https://boxd.it/hkyg,
37,Bicycle Thieves,1948,https://boxd.it/23hW,
38,Le Bonheur,1965,https://boxd.it/xyk,
39,Fake Blonde,2007,https://boxd.it/5eHM,
40,The Woman of Everyone,1969,https://boxd.it/5OgW,
41,The Guns,1964,https://boxd.it/5S2a,
42,Property,2022,https://boxd.it/CYsk,
43,Garden of War,1968,https://boxd.it/7bvC,
44,Hello Cubans,1963,https://boxd.it/4BC4,
45,Black Panthers,1968,https://boxd.it/4BCe,
46,Hard Labor,2011,https://boxd.it/3km2,
47,Entranced Earth,1967,https://boxd.it/qkU,
48,La Haine,1995,https://boxd.it/2as8,
49,The Red Light Bandit,1968,https://boxd.it/5ESQ,
50,Harakiri,1962,https://boxd.it/1NTU,
51,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
52,Three Songs About Lenin,1934,https://boxd.it/3eQK,
53,Theorem,1968,https://boxd.it/237C,
54,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
