Date,Name,Year,Letterboxd URI,Rating
2024-03-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,5
2024-03-07,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2024-03-07,At War,2018,https://boxd.it/hscM,3.5
2024-03-07,"Frantz Fanon: Black Skin, White Mask",1995,https://boxd.it/5PWu,3
2024-03-07,Da 5 Bloods,2020,https://boxd.it/lnXw,3
2024-03-07,She's Gotta Have It,1986,https://boxd.it/1quC,4
2024-03-07,Anatomy of a Fall,2023,https://boxd.it/yuDE,3
2024-03-07,Oppenheimer,2023,https://boxd.it/wUow,3
2024-03-07,Stargate,1994,https://boxd.it/27iu,2.5
2024-03-08,Videodrome,1983,https://boxd.it/29uC,5
2024-03-08,Struggle: The Life and Lost Art of Szukalski,2018,https://boxd.it/kIiW,3.5
2024-03-08,Rear Window,1954,https://boxd.it/2a6Q,5
2024-03-09,Snake Eyes,1998,https://boxd.it/1ZX0,4
2024-03-10,Training Day,2001,https://boxd.it/27A4,3.5
2024-03-11,Priscilla,2023,https://boxd.it/Cz3k,3
2024-03-11,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2024-03-11,Get Out,2017,https://boxd.it/eOCm,3.5
2024-03-12,Vale o Escrito: A Guerra do Jogo do Bicho,2023,https://boxd.it/KSdk,3.5
2024-03-12,Argentina 1985,2022,https://boxd.it/qLxM,3
2024-03-12,Pixote,1980,https://boxd.it/XCs,3.5
2024-03-12,Scream,1996,https://boxd.it/24EC,4
2024-03-12,Watchmen,2009,https://boxd.it/1QE4,3.5
2024-03-12,Watchmen,2019,https://boxd.it/ol5e,5
2024-03-12,Starship Troopers,1997,https://boxd.it/2a7k,4
2024-03-12,City of God,2002,https://boxd.it/2a2a,4.5
2024-03-13,Harakiri,1962,https://boxd.it/1NTU,5
2024-03-13,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,3.5
2024-03-13,"Good Bye, Lenin!",2003,https://boxd.it/2ayA,3.5
2024-03-13,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2024-03-13,Beau Is Afraid,2023,https://boxd.it/u2gE,3
2024-03-13,Amsterdam,2022,https://boxd.it/oJ58,3
2024-03-13,The Menu,2022,https://boxd.it/lScm,4
2024-03-13,The Whale,2022,https://boxd.it/tw4c,3.5
2024-03-18,The Birds,1963,https://boxd.it/2a6m,5
2024-03-25,Significant Other,2022,https://boxd.it/y3mc,1
2024-03-25,Watcher,2022,https://boxd.it/uocO,2
2024-03-26,The Red Light Bandit,1968,https://boxd.it/5ESQ,4
2024-03-27,La Haine,1995,https://boxd.it/2as8,4
2024-03-28,Mango Yellow,2002,https://boxd.it/2O12,3.5
2024-03-29,Entranced Earth,1967,https://boxd.it/qkU,4
2024-03-30,Thanksgiving,2023,https://boxd.it/EviY,3.5
2024-03-31,Pictures of Ghosts,2023,https://boxd.it/G55S,4
2024-04-01,Carrie,2013,https://boxd.it/4kC2,1.5
2024-04-01,Carrie,1976,https://boxd.it/20ZQ,4
2024-04-02,Twenty Years Later,1984,https://boxd.it/33Oo,5
2024-04-06,Johnny Guitar,1954,https://boxd.it/1tyW,4
2024-04-08,Hard Labor,2011,https://boxd.it/3km2,4
2024-04-10,Black Panthers,1968,https://boxd.it/4BCe,5
2024-04-10,Hello Cubans,1963,https://boxd.it/4BC4,5
2024-04-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2024-04-12,Garden of War,1968,https://boxd.it/7bvC,5
2024-04-12,Memories of Underdevelopment,1968,https://boxd.it/Kos,4.5
2024-04-12,The Battle of Algiers,1966,https://boxd.it/1IRY,4.5
2024-04-12,They Live,1988,https://boxd.it/20lm,5
2024-04-13,Triangle of Sadness,2022,https://boxd.it/hXlq,3
2024-04-13,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,5
2024-04-13,Whiplash,2014,https://boxd.it/7bQA,3.5
2024-04-15,Judas and the Black Messiah,2021,https://boxd.it/lsew,4
2024-04-21,August: Osage County,2013,https://boxd.it/4OhI,3.5
2024-04-22,Property,2022,https://boxd.it/CYsk,3.5
2024-04-22,Solaris,1972,https://boxd.it/2a2Y,4.5
2024-04-24,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu,5
